title	link	guid	category	description	pubDate
Kendriya Vidyalaya No.1 Vijayawada, Andhra Pradesh	http://kv1vijayawada.ap.nic.in	http://kv1vijayawada.ap.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.1 Vijayawada, Andhra Pradesh	Fri, 25 Mar 2011 12:00:00 +0530
Kendriya Vidyalaya CRPF MudKhed, Nanded, Maharashtra	http://www.kvmudkhed.com	http://www.kvmudkhed.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya CRPF MudKhed, Nanded, Maharashtra	Thu, 29 Dec 2011 12:00:00 +0530
Kendriya Vidyalaya Raichur, Karnataka	http://kvraichur.ac.in	http://kvraichur.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Raichur, Karnataka	Tue, 05 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Dahi Chowki, Unnao, Uttar Pradesh	http://kvunnao.ac.in	http://kvunnao.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Dahi Chowki, Unnao, Uttar Pradesh	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya Sangathan (KVS), Hyderabad Region	http://www.kvsrohyd.org	http://www.kvsrohyd.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan (KVS), Hyderabad Region	Wed, 14 Mar 2007 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Sambalpur, Odisha	http://jnvsambalpur.nic.in	http://jnvsambalpur.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Sambalpur, Odisha	Mon, 25 Jun 2012 12:00:00 +0530
Kendriya Vidyalayas Jyotipuram, Jammu and Kashmir	http://www.kvjyotipuram.org	http://www.kvjyotipuram.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalayas Jyotipuram, Jammu and Kashmir	Thu, 09 Apr 2009 12:00:00 +0530
Kendriya Vidyalaya No.2,Jammu	http://kvno2jammu.org.in	http://kvno2jammu.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.2,Jammu	Tue, 21 Apr 2009 12:00:00 +0530
Kendriya Vidyalaya, Samba, Jammu and Kashmir 	http://kvsamba.org	http://kvsamba.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Samba, Jammu and Kashmir	Mon, 20 Apr 2009 12:00:00 +0530
Kendriya Vidyalaya, Sambalpur, Odisha	http://www.kvsambalpur.nic.in	http://www.kvsambalpur.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Sambalpur, Odisha	Wed, 14 Mar 2007 12:00:00 +0530
Kendriya Vidyalaya, Tura, West Garo Hills, Meghalaya	http://www.kvtura.org	http://www.kvtura.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Tura, West Garo Hills, Meghalaya	Wed, 15 Sep 2010 12:00:00 +0530
Indhira Gandhi National Open University (IGNOU), Shillong Regional centre, Meghalaya	http://ignoushillong.nic.in	http://ignoushillong.nic.in	Academies / Institutions (Grant in Aid)	Indhira Gandhi National Open University (IGNOU), Shillong Regional centre, Meghalaya	Wed, 15 Sep 2010 12:00:00 +0530
Kendriya Vidyalaya, Laitkor Peak, Shillong	http://www.kvlpeak.org	http://www.kvlpeak.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Laitkor Peak, Shillong	Wed, 15 Sep 2010 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Thrissur	http://jnvthrissur.gov.in	http://jnvthrissur.gov.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Mayannur, Thrissur  an autonomous an educational institution under Navodaya Vidyalaya Samiti of the Ministry of HRD, Dept. of Secondary Education and Higher Education, Govt. of India. It is a residential school with Classes from VI to XII, affiliated to the Central Board of Secondary Education (CBSE). There are 515 Jawahar Navodaya Vidyalayas functioning in 27 States and 7 Union Territories. It is situated in a 21.265 - acre plot in the bank of Bharatha Puzha River with beautiful landscapes in Mayannur Village of Kondazhy Panchayat, Thalappilli Taluk, Thrissur District, Kerala State.	Sat, 16 Jan 2010 12:00:00 +0530
Kendriya Vidyalaya Kollam, Kerala	http://kvkollam.gov.in	http://kvkollam.gov.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Kollam, Kerala	Tue, 02 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya Kargil, Jammu and Kashmir	http://kvkargil.ac.in	http://kvkargil.ac.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Kargil, Jammu and Kashmir	Mon, 27 Apr 2009 12:00:00 +0530
Kendriya Vidyalaya Malappuram, Kerala	http://www.kvmalappuram.gov.in	http://www.kvmalappuram.gov.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Malappuram, Kerala	Sat, 20 Nov 2010 12:00:00 +0530
Jawahar Navodaya Vidyalaya, Kollam, Kerala	http://jnvkollam.gov.in	http://jnvkollam.gov.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya, Kollam, Kerala 	Sat, 20 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya Port Trust, Kochi, Kerala	http://kvptkochi.gov.in	http://kvptkochi.gov.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Port Trust, Kochi, Kerala	Sat, 20 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya No.2 - Faridabad, Haryana	http://kv2fbd.edu.in	http://kv2fbd.edu.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.2 - Faridabad, Haryana	Mon, 01 Jun 2015 12:00:00 +0530
Kendriya Vidyalaya (Embassy of India School), Tehran, Iran	http://www.kvtehran.com	http://www.kvtehran.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya (Embassy of India School), Tehran, Iran	Thu, 04 Jun 2015 12:00:00 +0530
Kendriya Vidyalaya No.1 Palakkad, Kerala	http://kv1palakkad.nic.in	http://kv1palakkad.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.1 Palakkad, Kerala	Tue, 30 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya Ottapalam, Kerala	http://kvottapalam.nic.in	http://kvottapalam.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya	Tue, 30 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya, SAP Camp, Peroorkada,  Kerala	http://kvsappkda.nic.in	http://kvsappkda.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, SAP Camp, Peroorkada,  Kerala	Tue, 30 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya, Konam, Nagercoil, Tamilnadu	http://www.kvnagercoil.tn.nic.in	http://www.kvnagercoil.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Konam, Nagercoil, Tamilnadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Adoor, Pathanamthitta, Kerala	http://kvadoor.gov.in	http://kvadoor.gov.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Adoor, Pathanamthitta, Kerala	Fri, 05 Oct 2007 12:00:00 +0530
Kendriya Vidyalaya, AFS, Avadi, Tamil Nadu	http://www.kvafsavadi.tn.nic.in	http://www.kvafsavadi.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, AFS, Avadi, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya,Gumla, Jharkhand	http://kvgumla.nic.in	http://kvgumla.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya,Gumla, Jharkhand	Mon, 18 Oct 2010 12:00:00 +0530
Kendriya Vidyalaya, Kathmandu, Nepal	http://www.kvkathmandu.net	http://www.kvkathmandu.net	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Kathmandu, Nepal	Thu, 04 Jun 2015 12:00:00 +0530
Kendriya Vidyalaya, Akkulam, Thiruvananthapuram, Kerala	http://kvafsakkulam.nic.in	http://kvafsakkulam.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Akkulam, Thiruvananthapuram, Kerala	Fri, 05 Oct 2007 12:00:00 +0530
Kendriya Vidyalaya, Anna Nagar, Chennai, Tamil Nadu	http://www.kvannanagar.tn.nic.in	http://www.kvannanagar.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Anna Nagar, Chennai, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Arakkonam, Tamil Nadu	http://www.kvarakkonamone.tn.nic.in	http://www.kvarakkonamone.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Arakkonam, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya 2, Eklinggarh, Udaipur, Rajasthan	http://www.kveklinggarh.org	http://www.kveklinggarh.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya 2, Eklinggarh, Udaipur, Rajasthan	Mon, 19 May 2008 12:00:00 +0530
Kendriya Vidyalaya Sangathan, Gurgaon Region	http://kvsrogurgaon.in	http://kvsrogurgaon.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Sangathan, Gurgaon Region	Thu, 04 Jun 2015 12:00:00 +0530
Kendriya Vidyalaya Rewari, Haryana	http://www.kvrewari.org	http://www.kvrewari.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Rewari, Haryana	Thu, 04 Jun 2015 12:00:00 +0530
Kendriya Vidyalaya No.5 Bathinda Cantt, Punjab	http://www.kv5bathinda.org.in	http://www.kv5bathinda.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.5 Bathinda Cantt, Punjab	Thu, 04 Jun 2015 12:00:00 +0530
Kendriya Vidyalaya, Avikanagar, Rajasthan	http://www.kvavikanagar.org	http://www.kvavikanagar.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Avikanagar, Rajasthan	Mon, 19 May 2008 12:00:00 +0530
Kendriya Vidyalaya, Bhakli, Rewari, Haryana	http://kvbhakli.edu.in	http://kvbhakli.edu.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Bhakli, Rewari, Haryana	Thu, 04 Jun 2015 12:00:00 +0530
Kendriya Vidyalaya, Barkuhi, Madhya Pradesh	http://kvbarkuhi.nic.in	http://kvbarkuhi.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Barkuhi, Madhya Pradesh	Mon, 15 May 2006 12:00:00 +0530
Kendriya Vidyalaya, BSF, Anupgarh, Rajasthan	http://kvanupgarh.nic.in	http://kvanupgarh.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, BSF, Anupgarh, Rajasthan	Mon, 19 May 2008 12:00:00 +0530
Kendriya Vidyalaya, BSF, Jodhpur, Rajasthan	http://kvbsfjodhpur.nic.in	http://kvbsfjodhpur.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, BSF, Jodhpur, Rajasthan	Mon, 19 May 2008 12:00:00 +0530
Kendriya Vidyalaya, Churu, Rajasthan	http://kvchuru.nic.in	http://kvchuru.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Churu, Rajasthan	Mon, 19 May 2008 12:00:00 +0530
Kendriya Vidyalaya, CLRI, Chennai	http://www.kvclrichennai.tn.nic.in	http://www.kvclrichennai.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, CLRI, Chennai	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Coimbatore, Tamil nadu	http://www.kvcoimbatore.tn.nic.in	http://www.kvcoimbatore.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Coimbatore, Tamil nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, CRPF, Avadi, Chennai, Tamil Nadu	http://www.kvcrpfavadi.tn.nic.in	http://www.kvcrpfavadi.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, CRPF, Avadi, Chennai, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, DGQA, Chennai, Tamil Nadu	http://www.kvdgqachennai.tn.nic.in	http://www.kvdgqachennai.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, DGQA, Chennai, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya Ernakulam, Kerala	http://kvekm.gov.in	http://kvekm.gov.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Ernakulam, Kerala 	Sat, 20 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya, Gandhigram, Tamil Nadu	http://www.kvgandhigram.tn.nic.in	http://www.kvgandhigram.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Gandhigram, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Gill Nagar, Chennai, Tamil Nadu	http://www.kvgillnagarchennai.tn.nic.in	http://www.kvgillnagarchennai.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Gill Nagar, Chennai, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Angul, Odisha	http://www.kvangul.org	http://www.kvangul.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Angul, Orissa	Mon, 20 Feb 2006 12:00:00 +0530
Kendriya Vidyalaya, Fudam, Diu	http://kvdiu.org	http://kvdiu.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Fudam, Diu 	Wed, 25 Aug 2010 12:00:00 +0530
Kendriya Vidyalaya, Hiranagar, Jammu and Kashmir	http://www.kvhiranagar.com	http://www.kvhiranagar.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Hiranagar, Jammu and Kashmir	Mon, 30 Mar 2009 12:00:00 +0530
Kendriya Vidyalaya, Hoshangabad, Madhya Pradesh	http://kvspmhoshangabad.nic.in	http://kvspmhoshangabad.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Hoshangabad, Madhya Pradesh	Fri, 17 Feb 2006 12:00:00 +0530
Kendriya Vidyalaya, HVF, Avadi, Chennai, Tamil Nadu	http://www.kvhvfavadi.tn.nic.in	http://www.kvhvfavadi.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, HVF, Avadi, Chennai, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya Idukki, Kerala	http://kvidukki.gov.in	http://kvidukki.gov.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Idukki, Kerala	Mon, 22 Nov 2010 12:00:00 +0530
Kendriya Vidyalaya IIT, Chennai Region, Tamil Nadu	http://www.kviitchennai.tn.nic.in	http://www.kviitchennai.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya IIT, Chennai Region, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, INS Mandovi Goa	http://www.kvmandovi.org	http://www.kvmandovi.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, INS Mandovi Goa	Thu, 13 Sep 2007 12:00:00 +0530
Kendriya Vidyalaya, Island Grounds, Chennai, Tamil Nadu	http://www.kvislandgrounds.tn.nic.in	http://www.kvislandgrounds.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Island Grounds, Chennai, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya Kanjikode, Kerala	http://kvkanjikode.nic.in	http://kvkanjikode.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Kanjikode, Kerala	Wed, 01 Dec 2010 12:00:00 +0530
Kendriya Vidyalaya Happy Valley Shillong	http://www.kvhappyvalley.com	http://www.kvhappyvalley.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Happy Valley Shillong	Wed, 15 Sep 2010 12:00:00 +0530
Kendriya Vidyalaya Karaikudi	http://www.kvkaraikudi.tn.nic.in	http://www.kvkaraikudi.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Karaikudi	Wed, 31 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, Leh	http://www.kvleh.org	http://www.kvleh.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Leh	Thu, 26 Mar 2009 12:00:00 +0530
Kendriya Vidyalaya, Nagaon, Assam	http://kvnagaon.nic.in	http://kvnagaon.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Nagaon, Assam	Fri, 19 Sep 2003 12:00:00 +0530
Jawahar Navodaya Vidyalaya (JNV), Boudh,  Odisha	http://jnvboudh.nic.in	http://jnvboudh.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya (JNV), Boudh,	Thu, 16 Aug 2012 12:00:00 +0530
Hemwati Nandan Bahuguna Garhwal University, Uttarakhand	http://hnbgu.ac.in	http://hnbgu.ac.in	Academies / Institutions (Grant in Aid)	Hemwati Nandan Bahuguna Garhwal University, Uttarakhand	Fri, 24 Jun 2011 12:00:00 +0530
Jawahar Navodaya Vidyalaya (JNV), Paikmal, Bargarh, Odisha	http://jnvbargarh.nic.in	http://jnvbargarh.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya (JNV), Paikmal, Bargarh, Odisha 	Thu, 16 Aug 2012 12:00:00 +0530
Department of Energy Science and Engineering, Indian Institute of Technology Bombay	http://www.ese.iitb.ac.in	http://www.ese.iitb.ac.in	Academies / Institutions (Grant in Aid)	Department of Energy Science and Engineering,	Fri, 01 Jul 2011 12:00:00 +0530
Department of Humanities and Social Sciences, Indian Institute of Technology, Madras	http://www.hss.iitm.ac.in	http://www.hss.iitm.ac.in	Academies / Institutions (Grant in Aid)	Department of Humanities and Social Sciences, Indian Institute of Technology, Madras	Tue, 12 Jul 2011 12:00:00 +0530
Kendriya Vidyalaya, Dharmapuri, Tamil Nadu	http://www.kvdharmapuri.tn.nic.in	http://www.kvdharmapuri.tn.nic.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Dharmapuri, Tamil Nadu	Tue, 30 Mar 2010 12:00:00 +0530
Kendriya Vidyalaya, BHEL Industrial Area, Jagdishpur, Uttar Pradesh	http://www.kvbhel.org	http://www.kvbhel.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, BHEL Industrial Area, Jagdishpur, Uttar Pradesh	Fri, 08 Apr 2011 12:00:00 +0530
Vardhaman Mahaveer Open University (VMOU), Kota, Rajasthan	http://www.vmou.ac.in	http://www.vmou.ac.in	Academies / Institutions (Grant in Aid)	Vardhaman Mahaveer Open University (VMOU), Kota, Rajasthan	Tue, 30 Aug 2011 12:00:00 +0530
Jawahar Navodaya Vidyalaya (JNV), Malhar, Bilaspur, Chhattisgarh	http://jnvbilaspurcg.gov.in	http://jnvbilaspurcg.gov.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya (JNV), Malhar, Bilaspur, Chhattisgarh	Mon, 25 Jan 2010 12:00:00 +0530
Kendriya Vidyalaya No.2, AFS, Suratgarh, Rajasthan	http://www.kv2afssuratgarh.org	http://www.kv2afssuratgarh.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.2, AFS, Suratgarh, Rajasthan	Mon, 27 Aug 2012 12:00:00 +0530
International Institute of Information Technology (IIT), Bhubaneswar	http://www.iiit-bh.ac.in	http://www.iiit-bh.ac.in	Academies / Institutions (Grant in Aid)	International Institute of Information Technology (IIT), Bhubaneswar 	Fri, 22 Jun 2012 12:00:00 +0530
Kendriya Vidyalaya No3, Air Force Station, Nal, Bikaner, Rajasthan	http://www.kv3nalbikaner.org	http://www.kv3nalbikaner.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No3, Air Force Station, Nal, Bikaner, Rajasthan	Mon, 25 Jun 2012 12:00:00 +0530
Jawahar Navodaya Vidyalaya (JNVS), Rahama, Jagatsinghpur, Odisha	http://jnvjagatsinghpur.nic.in	http://jnvjagatsinghpur.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya (JNVS), Rahama, Jagatsinghpur, Orissa	Mon, 25 Jun 2012 12:00:00 +0530
Jawahar Navodaya Vidyalaya (JNVS), Nabarangpur Odisha	http://jnvnabarangpur.nic.in	http://jnvnabarangpur.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya (JNVS), Nabarangpur	Mon, 25 Jun 2012 12:00:00 +0530
Department of Economics, Delhi School of Economics, University of Delhi	http://www.econdse.org	http://www.econdse.org	Academies / Institutions (Grant in Aid)	Department of Economics, Delhi School of Economics, University of Delhi	Wed, 05 Jan 2011 12:00:00 +0530
Pandit Sunderlal Sharma Central Institute of Vocational Education (PSSCIVE) 	http://psscive.nic.in	http://psscive.nic.in	Academies / Institutions (Grant in Aid)	Pandit Sunderlal Sharma Central Institute of Vocational Education (PSSCIVE) 	Tue, 26 Mar 2002 12:00:00 +0530
Kendriya Vidyalaya Kashipur, Uttarakhand	http://kvkashipur.com	http://kvkashipur.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Kashipur, Uttarakhand	Fri, 08 Apr 2011 12:00:00 +0530
Kendriya Vidyalya, No-2 NHPC, Champawat, Uttrakhand	http://www.kvnhpc.com	http://www.kvnhpc.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalya,	Thu, 07 Apr 2011 12:00:00 +0530
UGC  Academic Staff College, Maulana Azad National Urdu University	http://www.manuu.ac.in/asc.php	http://www.manuu.ac.in/asc.php	Academies / Institutions (Grant in Aid)	UGC  Academic Staff College, Maulana Azad National Urdu University	Tue, 25 Jan 2011 12:00:00 +0530
Kendriya Vidyalaya INS Valsura, Jamnagar,  Gujarat	http://www.kvinsvalsura.org	http://www.kvinsvalsura.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya INS Valsura, Jamnagar,  Gujarat	Sat, 09 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Malkapuram, Visakhapatnam	http://kvmalkapuram.org	http://kvmalkapuram.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Malkapuram, Visakhapatnam	Fri, 25 Mar 2011 12:00:00 +0530
Central University of Odisha (CUO)	http://www.cuo.ac.in	http://www.cuo.ac.in	Academies / Institutions (Grant in Aid)	Central University of Orissa (CUO)	Thu, 23 Jun 2011 12:00:00 +0530
Kendriya Vidyalaya No.3 Amritsar, Punjab	http://kvno3amritsar.com	http://kvno3amritsar.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya No.3 Amritsar, Punjab	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Anantnag	http://www.kvanantnag.org	http://www.kvanantnag.org	Academies / Institutions (Grant in Aid)	This the website of Kendriya Vidyalaya, Anantnag	Thu, 26 Mar 2009 12:00:00 +0530
Kendiya Vidyalaya, Baripada, Mayurbhanj, Odisha	http://www.kvbaripada.edu.in	http://www.kvbaripada.edu.in	Academies / Institutions (Grant in Aid)	Kendiya Vidyalaya, Baripada, Mayurbhanj, Odisha	Tue, 10 Mar 2009 12:00:00 +0530
Kendrya Vidyalaya Sector-6, Rourkela, Odisha	http://www.kvrkl.org	http://www.kvrkl.org	Academies / Institutions (Grant in Aid)	Kendrya Vidyalaya Sector-6, Rourkela, Orissa	Mon, 11 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, Bondamunda, Odisha	http://www.kvbndm.org	http://www.kvbndm.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, Bondamunda, Orissa	Fri, 08 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya  Khurda Road, Odisha	http://kvkhurdaroad.org	http://kvkhurdaroad.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya  Khurda Road, Orissa	Fri, 08 Apr 2011 12:00:00 +0530
Jawahar Navodaya Vidyalaya (JNVS), Jajpur, Odisha	http://jnvjajpur.nic.in	http://jnvjajpur.nic.in	Academies / Institutions (Grant in Aid)	Jawahar Navodaya Vidyalaya (JNVS), Jajpur, Orissa	Mon, 25 Jun 2012 12:00:00 +0530
Kendriya Vidyalaya, IIT Kharagpur, West Bengal	http://kviitkgp.com	http://kviitkgp.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, IIT Kharagpur, West Bengal	Fri, 08 Apr 2011 12:00:00 +0530
Kendriya Vidyalya Sangthan, Jammu	http://www.kvsrojammu.org	http://www.kvsrojammu.org	Academies / Institutions (Grant in Aid)	Kendriya Vidyalya Sangthan, Jammu	Mon, 16 Mar 2009 12:00:00 +0530
Kendriya Vidyalaya Baramulla, Jammu and Kashmir	http://www.kvbaramulla.com	http://www.kvbaramulla.com	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya Baramulla, Jammu and Kashmir	Fri, 08 Apr 2011 12:00:00 +0530
Kendriya Vidyalaya, NTPC, Anta, Rajasthan	http://www.kvntpcanta.org.in	http://www.kvntpcanta.org.in	Academies / Institutions (Grant in Aid)	Kendriya Vidyalaya, NTPC, Anta, Rajasthan 	Mon, 11 Apr 2011 12:00:00 +0530
